Age,Temperature
4997.41162,-0.66
5017.63135,-0.32
5037.27734,-0.29
5056.92090,0.36
5077.15576,-0.95
5097.24316,-0.24
5117.65625,-0.13
5136.65674,0.25
5156.00537,0.56
5174.81885,0.58
5193.40039,0.26
5212.32373,-0.47
5232.35645,-0.17
5253.08057,-1.38
5273.03516,-0.26
5292.75488,0.69
5312.11328,-0.21
5331.51270,0.68
5350.51611,-0.26
5369.94189,0.03
5389.17773,0.54
5408.76025,-2.14
5430.22119,-1.08
5452.77002,-1.28
5474.10742,-0.06
5495.14404,-1.30
5516.06982,-2.19
5538.56299,-0.82
5560.64307,0.00
5579.52490,1.23
5597.93359,-0.26
5617.14600,0.10
5636.84375,-0.75
5656.90234,-0.10
5676.67773,-0.24
5696.82275,-0.97
5716.83252,0.57
5736.29150,-0.77
5756.10742,1.38
5774.45898,-0.72
5793.03125,0.91
5811.41699,1.01
5830.54785,-0.98
5849.67529,0.29
5868.10498,0.57
5886.71680,0.32
5905.14307,-0.54
5925.82520,-0.89
5946.12646,-0.71
5967.26807,-1.54
5988.59326,-0.50
6008.73047,0.45
6027.92334,-0.02
6047.11182,-0.40
6066.76611,-0.80
6086.92725,0.06
6106.67334,0.49
6126.71484,-1.52
6146.75195,0.80
6165.99609,-0.93
6185.56348,-0.51
6205.32520,-0.71
6224.92188,0.03
6244.90576,-0.68
6265.25293,-1.23
6285.96436,0.27
6306.17871,-0.19
6325.78125,-1.30
6346.05469,-1.55
6367.22217,-0.38
6387.99365,-1.37
6409.05469,-0.76
6430.11035,-0.47
6449.43555,0.79
6468.30127,-0.14
6487.40918,-1.78
6508.77686,-1.34
6530.53564,0.81
6550.47754,-0.48
6569.66113,-1.27
6590.10791,-0.71
6611.98047,-2.27
6633.31201,-0.22
6654.39893,-1.50
6675.47266,-2.00
6695.09766,0.60
6714.92676,0.23
6734.95068,-0.28
6754.85059,-1.47
6775.19922,-1.31
6796.66455,-1.20
6817.73438,-1.07
6837.80859,-0.59
6857.56445,0.75
6876.75293,-0.25
6894.72949,0.99
6913.03467,-0.73
6933.19678,-0.80
6953.43799,-1.23
6973.75098,-0.49
6993.71631,-0.29
7013.37988,-1.44
7034.45752,-0.94
7055.52197,-0.66
7076.34229,-1.11
7096.71631,-1.16
7117.57666,-0.39
7138.54639,-1.91
7159.63916,-3.00
7183.03809,-1.32
7206.14893,-0.93
7227.69482,-1.82
7248.83740,-1.56
7270.31396,-1.43
7291.77637,-0.40
7311.01465,0.88
7329.80273,-0.81
7349.21240,-2.10
7370.96484,-1.04
7392.32568,-1.84
7414.37549,-1.69
7436.41260,-0.24
7457.46973,-1.53
7477.94238,-1.77
7498.46387,-0.93
