Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
1918,-0.2966,-0.2814,-0.2605,-0.259,-0.2445,-0.2311,-0.2337,-0.2341,-0.2411,-0.2278,-0.2262,-0.3146
1919,-0.2107,-0.191,-0.1961,-0.1772,-0.1696,-0.1739,-0.175,-0.1775,-0.1804,-0.1904,-0.2073,-0.2084
1920,-0.1949,-0.2088,-0.1937,-0.2054,-0.2041,-0.2058,-0.2082,-0.2101,-0.2094,-0.2086,-0.203,-0.2055
1921,-0.2059,-0.2,-0.2133,-0.213,-0.2149,-0.2075,-0.1965,-0.1937,-0.1914,-0.1795,-0.174,-0.2105
1922,-0.1704,-0.1825,-0.1709,-0.1646,-0.1706,-0.1803,-0.1927,-0.1996,-0.2083,-0.2237,-0.2243,-0.1485
1923,-0.2215,-0.2285,-0.2444,-0.2617,-0.2604,-0.2531,-0.2548,-0.2551,-0.2545,-0.2471,-0.2286,-0.2304
1924,-0.2189,-0.2028,-0.1898,-0.1822,-0.1773,-0.1799,-0.1748,-0.1754,-0.1786,-0.1891,-0.216,-0.2156
1925,-0.2545,-0.2622,-0.2669,-0.26,-0.2627,-0.263,-0.262,-0.2493,-0.2343,-0.2214,-0.192,-0.2486
1926,-0.1072,-0.0772,-0.0568,-0.0548,-0.0474,-0.0385,-0.0343,-0.0302,-0.0301,-0.026,-0.0374,-0.1481
1927,-0.0949,-0.1177,-0.1453,-0.1521,-0.16,-0.1666,-0.162,-0.1642,-0.1579,-0.1497,-0.1465,-0.0667
1928,-0.1469,-0.143,-0.1436,-0.1456,-0.1421,-0.1484,-0.1546,-0.1617,-0.1753,-0.1869,-0.1892,-0.1546
1929,-0.2111,-0.2448,-0.245,-0.2494,-0.2579,-0.2577,-0.2657,-0.2664,-0.2679,-0.2673,-0.2697,-0.1774
1930,-0.2849,-0.2558,-0.2382,-0.2297,-0.2221,-0.2087,-0.1917,-0.1818,-0.1731,-0.1633,-0.1438,-0.2985
1931,-0.0775,-0.0793,-0.0753,-0.0726,-0.0686,-0.0607,-0.0562,-0.0483,-0.0393,-0.0385,-0.0593,-0.1003
1932,-0.0518,-0.0482,-0.0627,-0.0519,-0.0533,-0.065,-0.0737,-0.0888,-0.0948,-0.1033,-0.11,-0.0686
1933,-0.1553,-0.1667,-0.1724,-0.1867,-0.1902,-0.1938,-0.1988,-0.1999,-0.2125,-0.2205,-0.2255,-0.1168
1934,-0.2441,-0.2197,-0.2205,-0.2228,-0.209,-0.1925,-0.1849,-0.1737,-0.1655,-0.1556,-0.1333,-0.2439
1935,-0.0998,-0.084,-0.0749,-0.077,-0.0902,-0.1043,-0.1064,-0.1102,-0.1076,-0.1029,-0.1266,-0.1015
1936,-0.1363,-0.1763,-0.1815,-0.175,-0.1679,-0.1626,-0.1541,-0.1504,-0.146,-0.1468,-0.1266,-0.1392
1937,-0.1062,-0.0769,-0.0745,-0.0701,-0.0619,-0.0519,-0.0507,-0.0383,-0.0241,-0.0128,-0.0097,-0.1134
1938,-0.0048,-0.0125,0.0052,0.0193,0.0193,0.0104,0.0062,-0.0028,-0.0113,-0.0147,-0.0152,-0.0157
1939,-0.0395,-0.0445,-0.0628,-0.0774,-0.0789,-0.0717,-0.067,-0.0611,-0.0626,-0.0722,-0.0689,-0.0288
1940,-0.0102,0.0036,0.025,0.0467,0.0543,0.0636,0.0753,0.0782,0.0896,0.1015,0.1062,-0.0139
1941,0.1199,0.1346,0.1375,0.1454,0.1611,0.1659,0.171,0.1779,0.1729,0.1907,0.2008,0.0947
1942,0.2058,0.195,0.2013,0.1985,0.192,0.196,0.1852,0.1744,0.1769,0.1633,0.1587,0.196
1943,0.1269,0.1329,0.1245,0.123,0.1202,0.1047,0.1136,0.1182,0.1202,0.1336,0.1401,0.1538
1944,0.1944,0.2056,0.2299,0.2382,0.2489,0.2748,0.2857,0.3008,0.3211,0.3222,0.3144,0.157
1945,0.2703,0.2462,0.2245,0.2249,0.2178,0.2016,0.1892,0.1954,0.1847,0.1792,0.1829,0.2928
1946,0.1766,0.1828,0.1739,0.1656,0.1484,0.1282,0.1114,0.076,0.0531,0.0313,0.014,0.171
1947,-0.0376,-0.0514,-0.0521,-0.0657,-0.0648,-0.0546,-0.0527,-0.052,-0.0616,-0.0565,-0.0575,-0.004
1948,-0.0281,-0.0292,-0.0439,-0.0505,-0.037,-0.04,-0.044,-0.0412,-0.0389,-0.0489,-0.0516,-0.0477
1949,-0.0431,-0.0479,-0.0386,-0.0326,-0.045,-0.0562,-0.0574,-0.0569,-0.0541,-0.0512,-0.0509,-0.0487
1950,-0.09,-0.0976,-0.0987,-0.1136,-0.1175,-0.1098,-0.1122,-0.1219,-0.1248,-0.1361,-0.1617,-0.0568
1951,-0.1627,-0.1769,-0.1838,-0.1769,-0.1677,-0.1598,-0.1419,-0.121,-0.1012,-0.0783,-0.0461,-0.1616
1952,0.0237,0.0656,0.0756,0.0885,0.0866,0.0867,0.0837,0.0796,0.0741,0.062,0.0434,-0.0132
1953,0.0208,0.0259,0.0427,0.0528,0.0619,0.069,0.0684,0.0697,0.0696,0.0786,0.0899,0.0248
1954,0.067,0.047,0.0266,-0.0037,-0.0326,-0.0526,-0.0684,-0.0827,-0.093,-0.1048,-0.0963,0.0952
1955,-0.0895,-0.0932,-0.1114,-0.1165,-0.1103,-0.1064,-0.1035,-0.0981,-0.1008,-0.1053,-0.1283,-0.1165
1956,-0.1575,-0.1694,-0.1603,-0.1642,-0.1725,-0.1787,-0.1826,-0.1959,-0.2092,-0.2156,-0.2088,-0.1354
1957,-0.1941,-0.1806,-0.1696,-0.1475,-0.1194,-0.0943,-0.0781,-0.0517,-0.0245,-0.0067,0.017,-0.199
1958,0.0834,0.1102,0.1257,0.1368,0.1361,0.1282,0.1286,0.1222,0.1175,0.1197,0.1164,0.0488
1959,0.0952,0.0833,0.0905,0.0908,0.0846,0.0865,0.0867,0.0866,0.0931,0.0886,0.0746,0.1095
1960,0.0495,0.0593,0.0252,0.0075,-0.0018,-0.0024,-0.0052,-0.0056,-0.0084,-0.004,-0.0014,0.0596
1961,0.03,0.0293,0.06,0.0791,0.0995,0.1054,0.1055,0.1044,0.0987,0.0925,0.0979,0.0204
1962,0.0788,0.0782,0.0745,0.0697,0.0612,0.0536,0.0582,0.0602,0.0656,0.0751,0.08,0.0775
1963,0.0807,0.0879,0.0761,0.0694,0.0656,0.065,0.069,0.0775,0.0861,0.0973,0.1073,0.0888
